EDRPOU,eotype,eolevel,teachstuff,nonteachstuff,teachstuffretage,pupils,classes,opex,opexplan,hub,year
25512706,rural,I-III,59,43,12,329,28,11173.4,13755.7,yes,2019
26244389,rural,I-III,53,44,11,359,23,10991.9,12170.8,yes,2019
13324744,urban,I-III,78,46,10,645,39,18060.6,20605.2,yes,2019
26244797,urban,I-III,86,40,9,649,38,17767.2,21866.2,yes,2019
21726646,urban,I-III,81,34,18,936,39,18676.954,20181.051,no,2019
23062630,rural,I-III,20,16,2,186,11,5348.857,6142.323,no,2019
26286376,urban,I-III,76,32,9,1022,41,18812.263,20400.56,no,2019
26286360,urban,I-III,39,21,3,345,20,9963.955,10082.274,no,2019
35150696,rural,I-III,26,18,7,205,11,6454.192,7429.832,yes,2019
26241764,rural,I-III,18,9,3,90,11,3730.621,4086.618,no,2019
26241793,rural,I-III,17,8,1,135,11,3423.577,3893.173,no,2019
13307208,urban,I-III,68,34,12,624,34,14665.894,16971.105,yes,2019
26235054,urban,I-III,90,38,22,953,49,17884.374,22900.422,yes,2019
35041344,urban,I-III,23,11,2,231,12,5171.311,5736.779,no,2019
26241729,rural,I-III,14,8,1,80,10,2806.332,3119.397,no,2019
26223275,urban,I-III,40,21,4,487,22,8496.87,9500.6,no,2019
26223269,urban,I-III,34,18,7,284,15,7407.5,8282.5,no,2019
26223252,urban,I-III,27,18,10,164,11,5882.5,6577.3,no,2019
21725500,urban,I-III,55,25,4,566,23,9918.788,11053.658,no,2019
21725517,urban,I-III,50,22,5,439,20,9063.398,10623.563,no,2019
21724083,urban,I-III,54,24,8,539,22,10751.691,12053.242,no,2019
21725463,urban,I-III,86,33,3,795,30,17584.997,19595.764,yes,2019
13310311,urban,I-III,70,32,8,712,31,15083.333,17700.607,no,2019
23055972,urban,I-III,106,46,8,845,43,21764.806,23657.926,yes,2019
26224346,rural,I-III,17,7,1,61,8,3576.898,3797.919,no,2019
26227913,rural,I-III,19,11,1,103,8,3836.095,4074.981,no,2019
21723240,urban,I-III,62,24,12,630,26,11760,13679.3,no,2019
21723412,rural,I-III,17,10,2,64,9,3449.6,4116.1,no,2019
21723406,urban,I-III,58,20,12,644,29,12194.2,14268.6,no,2019
21723524,rural,I-III,18,9,7,70,9,3213.8,3707.5,no,2019
21723493,rural,I-III,18,10,5,173,11,4109.7,4958.1,no,2019
21723613,rural,I-III,17,12,4,87,10,4263.7,4921,no,2019
21723352,urban,I-III,68,26,12,881,34,15353.3,17125.6,no,2019
26235350,urban,I-III,62,30,12,708,29,14783.900000000001,15499.1,yes,2019
26241741,rural,I-III,19,13,2,111,10,3261.6,3546.6,no,2019
26241965,urban,I-III,83,37,10,627,43,14881.7,15773.4,yes,2019
26235083,rural,I-III,23,9,5,114,11,3517,3715.4,no,2019
23105925,urban,I-III,62,35,9,618,27,12864.24,16149.71,yes,2019
24900027,urban,I-III,38,31,4,255,18,7637.7,8552.02,yes,2019
26223111,urban,I-III,83,40,25,868,32,15455.9,14995.6,yes,2019
26223281,rural,I-III,24,15,7,99,11,4273.8,4153,no,2019
26223105,rural,I-III,19,12,4,70,9,3643.6,3535.1,no,2019
26223163,rural,I-III,17,12,3,83,11,3850.4,3735.7,no,2019
26223217,rural,I-III,18,14,1,97,11,4186.8,4062.1,no,2019
21723346,urban,I-III,46,30,4,435,27,9732,11872.98,yes,2019
26242887,rural,I-III,21,14,2,151,10,4337.4,5757.346,no,2019
21724268,rural,I-III,21,18,1,150,11,6001.405,5867.687,yes,2019
26243303,rural,I-III,12,7,3,42,5,2906.764,2179.472,no,2019
26224100,rural,I-III,23,15,5,219,11,6898.8,6456.4,no,2019
26223921,rural,I-III,19,13,4,170,11,3433.1,5421.6,no,2019
26142298,rural,I-III,68,33,15,459,30,12465.3,14282.3,yes,2019
26228261,rural,I-III,23,12,2,106,11,5342.8,6121,no,2019
