eoname,KOATUU_2020,id,Код ЄДРПОУ,url,title_opendatabot
"Тернівський навчально-виховний комплекс ""загальноосвітня школа I-III ступенів - дошкільний навчальний заклад"" Конотопської районної ради Сумської області",5922088101,тернвськийнавчальновиховнийкомплексзагальноосвтняшкола3ступенвдошкльнийнавчальнийзакладконотопськорайонорадисумськообласт,,https://opendatabot.ua/c/33477015,"Пигарівський навчально-виховний комплекс ""ЗАГАЛЬНООСВІТНЯ ШКОЛА I - III СТУПЕНІВ - ДОШКІЛЬНИЙ НАВЧАЛЬНИЙ ЗАКЛАД"" СЕРЕДИНО-БУДСЬКОЇ РАЙОННОЇ РАДИ СУМСЬКОЇ ОБЛАСТІ Код ЄДРПОУ 33477015 — Опендатабот"
Болотнянська загальноосвітня школа І-ІІІ ступенів Перемишлянської районної ради Львівської області,4623380701,болотнянськазагальноосвтняшкола3ступенвперемишлянськорайонорадильввськообласт,,https://opendatabot.ua/c/22368965,Болотнянський заклад загальної середньої освіти і-іі ступенів перемишлянської міської ради львівського району львівської області Код ЄДРПОУ 22368965 — Опендатабот
Навчально-виховний комплекс «Михайлівська загальноосвітня школа І-ІІІ ступенів – дошкільний навчальний заклад» Покровської районної ради,1422755604,навчальновиховнийкомплексмихайлвськазагальноосвтняшкола3ступенвдошкльнийнавчальнийзакладпокровськорайоноради,,https://opendatabot.ua/c/26290969,"Опорний комунальний заклад ""МИХАЙЛІВСЬКИЙ НАВЧАЛЬНО-ВИХОВНИЙ КОМПЛЕКС ""ЗАГАЛЬНООСВІТНЯ ШКОЛА І-ІІІ СТ.- ГІМНАЗІЯ"" ІМ. ГЕРОЯ РАДЯНСЬКОГО СОЮЗУ І.А. НАЙДЬОНОВА"" МИХАЙЛІВСЬКОЇ СЕЛИЩНОЇ РАДИ ВАСИЛІВСЬКОГО РАЙОНУ ЗАПОРІЗЬКОЇ ОБЛАСТІ Код ЄДРПОУ 26290969 — Опендатабот"
Іванківська загальноосвітня школа І-ІІІ ступенів,6120855706,ванквськазагальноосвтняшкола3ступенв,,https://opendatabot.ua/c/22208161,Іванківський ліцей №1 іванківської селищної ради Код ЄДРПОУ 22208161 — Опендатабот
Глобинська гімназія №1 ім. В.Є.Курченка Глобинської районної ради Полтавської області,5320610100,глобинськагмназя№1менвєкурченкаглобинськорайонорадиполтавськообласт,,https://opendatabot.ua/c/21064961,Глобинський ліцей №1 ім. в.є.курченка глобинської міської ради Код ЄДРПОУ 21064961 — Опендатабот
Пилипо-Олександрівська загальноосвітня школа I-III ступенів Віньковецького району Хмельницької області,6820686701,пилипоолександрвськазагальноосвтняшкола3ступенввньковецькогорайонухмельницькообласт,,https://opendatabot.ua/c/25961841,Комунальний заклад пилипо-олександрівська гімназія віньковецької селищної ради хмельницької області Код ЄДРПОУ 25961841 — Опендатабот
"Опорний заклад ""Лукашівська загальноосвітня школа І-ІІІ ступенів"" Липовецької районної ради Вінницької області",522283601,опорнийзакладлукашвськазагальноосвтняшкола3ступенвлиповецькорайонорадивницькообласт,,https://opendatabot.ua/c/26243830,Лукашівська загальноосвітня школа і-ііі ст. липовецької районної ради вінницької області Код ЄДРПОУ 26243830 — Опендатабот
Покровська загальноосвітня школа І-ІІІ ступенів Кіровоградської районної державної адміністрації,3522586901,покровськазагальноосвтняшкола3ступенавчальновиховнийкомплексровоградськорайонодержавноадмнстрац,,https://opendatabot.ua/c/23221896,Покровська загальноосвітня школа і - ііі ступенів кіровоградської районної державної адміністрації кіровоградської області Код ЄДРПОУ 23221896 — Опендатабот
"Комунальний навчальний заклад ""Червоношахтарська загальноосвітня школа І-ІІІ ступенів"" Криворізької районної ради Дніпропетровської області",1221881301,комунальнийнавчальнийзакладчервоношахтарськазагальноосвтняшкола3ступенвкриворзькорайонорадиднпропетровськообласт,,https://opendatabot.ua/c/19143601,"Комунальний заклад ""ЧЕРВОНОШАХТАРСЬКА ГІМНАЗІЯ"" ЛОЗУВАТСЬКОЇ СІЛЬСЬКОЇ РАДИ Код ЄДРПОУ 19143601 — Опендатабот"
Ротмістрівська загальноосвітня школа І-ІІІ ступенів Смілянської районної ради Черкаської області,7123787201,ротмстрвськазагальноосвтняшкола3ступенвсмлянськорайонорадичеркаськообласт,,https://opendatabot.ua/c/33210082,"Комунальний заклад ""НОСАЧІВСЬКА ГІМНАЗІЯ РОТМІСТРІВСЬКОЇ СІЛЬСЬКОЇ РАДИ"" Код ЄДРПОУ 33210082 — Опендатабот"
Триліський заклад загальної середньої освіти І-ІІІ ступенів ім. Ю.С.Коваленка Фастівської районної ради Київської області,3224986601,трилськийзакладзагальносередньоосвти3ступенвменюселаковаленкафаствськорайонорадикивськообласт,,https://opendatabot.ua/c/24892842,Триліська гімназія з початковою школою ім. ю.с.коваленка кожанської селищної ради фастівського району київської області Код ЄДРПОУ 24892842 — Опендатабот
"Зозулівський навчально-виховний комплепкс ""загальноосвітній навчальний заклад І-ІІІ ступенів - дошкільний навчальний заклад"" Золочівської районної ради Львівської області",4621882803,зозулвськийнавчальновиховнийкомплепксзагальноосвтнйнавчальнийзаклад3ступенвдошкльнийнавчальнийзакладзолочвськорайонорадильввськообласт,,https://opendatabot.ua/c/22365044,"Волицький навчально - виховний комплекс ""загальноосвітній навчальний заклад І-ІІІ ступенів - дошкільний навчальний заклад"" Шегинівської сільської ради Яворівського району Львівської області Код ЄДРПОУ 22365044 — Опендатабот"
Тростянецька загальноосвітня школа I-III ступенів Ічнянської районної ради Чернігівської області,7421788501,тростянецьказагальноосвтняшкола3ступенвчнянськорайонорадичернгвськообласт,,https://opendatabot.ua/c/26228522,Загальноосвітня школа і-іі ступенів с.тростянець ямпільський район вінницька область Код ЄДРПОУ 26228522 — Опендатабот
Фаховий коледж культури і мистецтв (м. Калуш),2610400000,фаховийколеджкультуримистецтвмкалуш,,https://opendatabot.ua/c/02214656,Фаховий коледж культури і мистецтв (м. калуш) Код ЄДРПОУ 02214656 — Опендатабот
Верхньорогачицька загальноосвітня школа І-ІІІ ступенів №1  Верхньорогачицької районної ради Херсонської області,6521555100,верхньорогачицьказагальноосвтняшкола3ступенв№1верхньорогачицькорайонорадихерсонськообласт,,https://opendatabot.ua/c/24948117,Верхньорогачицька загальоосвітня школа і-ііі ступенів № 1 ім. п.ю. корбута верхньорогачицької районної ради херсонської області Код ЄДРПОУ 24948117 — Опендатабот
Зеленокуриловецька загальноосвітня школа I-III ступенів,6823382701,зеленокуриловецьказагальноосвтняшкола3ступенв,,https://opendatabot.ua/c/23562226,Зеленокуриловецький ліцей новоушицької селищної ради хмельницької області Код ЄДРПОУ 23562226 — Опендатабот
