eoname,link,edrpou
"Комунальний заклад ""Технічний ліцей м.Дніпродзержинська"" Дніпродзержинської міської ради",https://opendatabot.ua/c/23370679,23370679
Природничо-економічний ліцей с. Вузлове Радехівського району Львівської області,https://opendatabot.ua/c/22374830,22374830
Новопразький навчально- виховний комплекс Олександрійської районної ради,https://opendatabot.ua/c/26505424,26505424
"Кулевчанська загальноосвітня школа I-III ступенів Саратської районної ради
",https://opendatabot.ua/c/25814353,25814353
Дерценська загальноосвітня школа І-ІІІ ступенів з угорською мовою навчання Мукачівської районної ради Закарпатської області,https://opendatabot.ua/c/34919686,34919686
Революційна загальноосвітня школа I-III ступенів Вовчанської районної ради Харківської області,https://opendatabot.ua/c/25186787,25186787
Середня загальноосвітня школа І-ІІІ ступенів №5 м.Могилева-Подільського,https://opendatabot.ua/c/34142181,34142181
Павлопільська загальноосвітня школа І-ІІІ ступенів Нікопольської районної ради Дніпропетровської області,https://opendatabot.ua/c/34276825,34276825
Полтавська спеціалізована школа-інтернат №1 І-ІІІ ступенів Полтавської обласної ради,https://opendatabot.ua/c/21062889,21062889
Шебелинська загальноосвітня школа I-III ступенів Зміївської районної ради Харківської області,https://opendatabot.ua/c/33460399,33460399
Потелицька загальноосвітня школа І-ІІІ ступенів Жовківської районної ради,https://opendatabot.ua/c/22356878,22356878
Кам'янська загальноосвітня школа І-ІІІ ступенів Березнівської районної ради Рівненської області,https://opendatabot.ua/c/22569309,22569309
Богуславська загальноосвітня школа І-ІІІ ступенів №2 Богуславської районної ради Київської області,https://opendatabot.ua/c/25300298,25300298
"Трипутнянський навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступенів - дошкільний навчальний заклад"" Дубровицької районної ради Рівненської області",https://opendatabot.ua/c/39133040,39133040
Блистівська загальноосвітня школа I-III ступенів Менської районної ради Чернігівської області,https://opendatabot.ua/c/33322304,33322304
"Комунальний заклад освіти ""Середня загальноосвітня школа № 135"" Дніпропетровської міської ради",https://opendatabot.ua/c/25542920,25542920
"Комунальний заклад освіти ""Середня загальноосвітня школа №1"" Дніпропетровської міської ради",https://opendatabot.ua/c/34775291,34775291
Єлизаветівська загальноосвітня школа І - ІІІ ступенів Мар'їнської районної ради Донецької області,https://opendatabot.ua/c/25671468,25671468
Усть-Чорнянська загальноосвітня школа І-ІІІ ступенів Усть-Чорнянської селищної ради Тячівського району Закарпатської області,https://opendatabot.ua/c/22114448,22114448
"Макарівський навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступенів - природничо-математичний ліцей"" Макарівського району Київської області",https://opendatabot.ua/c/36879860,36879860
Південна виправна колонія Управління Державної пенітенціарної служби України в Одеській області (№51),https://opendatabot.ua/c/08564133,8564133
Кременчуцька спеціалізована школа І-ІІІ ступенів № 10 з поглибленим вивченням англійської мови Кременчуцької міської ради Полтавської області,https://opendatabot.ua/c/24827833,24827833
"Комунальний заклад ""Середня загальноосвітня школа № 19 м.Дніпродзержинська"" Дніпродзержинської міської ради",https://opendatabot.ua/c/23372313,23372313
Чортківська загальноосвітня школа І - ІІІ ступенів №5,https://opendatabot.ua/c/24618963,24618963
Загальноосвітня школа I-III ступенів с.Буцинівка Роздільнянського району Одеської області,https://opendatabot.ua/c/25038073,25038073
Херсонський центр освіти молоді та дорослих Херсонської міської ради,https://opendatabot.ua/c/24115191,24115191
Германівська гімназія Обухівського району Київської області,https://opendatabot.ua/c/26190417,26190417
"Гришинський навчально-виховний комплекс Роменської районної ради Сумської області
",https://opendatabot.ua/c/23999383,23999383
"Комунальний заклад ""Середня загальноосвітня школа № 20 імені О.І.Стовби м.Дніпродзержинська"" Дніпродзержинської міської ради",https://opendatabot.ua/c/23372543,23372543
Антонінська загальноосвітня школа I-III ступенів Красилівського району Хмельницької області,https://opendatabot.ua/c/25889316,25889316
"Арцизький навчально-виховний комплекс ""Загальноосвітня школа I-III ступенів №4 - ліцей"" Арцизької районної ради Одеської області",https://opendatabot.ua/c/26418568,26418568
Маломихайлівська середня загальноосвітня школа Криничанського району Дніпропетровської області,https://opendatabot.ua/c/25537571,25537571
Берестівецька загальноосвітня школа І-ІІІ ступенів Уманської районної ради Черкаської області,https://opendatabot.ua/c/24351997,24351997
"Комунальний заклад освіти ""Середня загальноосвітня школа № 116"" Дніпропетровської міської ради",https://opendatabot.ua/c/26460101,26460101
Олександрійська загальноосвітня школа І-ІІІ ступенів Рівненської районної ради Рівненської області,https://opendatabot.ua/c/22560900,22560900
Комунальний заклад освіти середня загальноосвітня школа №3 з профільними класами імені М. Островського м. Жовті Води Дніпропетровської області,https://opendatabot.ua/c/26240345,26240345
