eoname,KOATUU_2020,KOATUU_2020_reg,year,id,EDRPOU
"ДПТНЗ ""Дніпровський регіональний центр професійно-технічної освіти"" (корпус №2)",1210137800,12,[2018],дптнзднпровськийрегональнийцентрпрофесйнотехнчнаосвт,05536076
"Державний професійно-технічний навчальний заклад ""Дніпровський центр професійно-технічної освіти""",1210137800,12,"[2019, 2022, 2023]",державнийпрофесйнотехнчнийнавчальнийзакладднпровськийцентрпрофесйнотехнчнаосвт,02541409
"Державний професійно-технічний навчальний заклад ""Дніпровський центр професійно-технічної освіти"" (корпус 3)",1210138100,12,"[2019, 2020, 2021]",державнийпрофесйнотехнчнийнавчальнийзакладднпровськийцентрпрофесйнотехнчнаосвт,02541409
"Державний професійно-технічний навчальний заклад ""Західно-Дніпровський центр професійно-технічної освіти"" (філія 2)",1210200000,12,"[2019, 2020, 2021]",державнийпрофесйнотехнчнийнавчальнийзакладзахдноднпровськийцентрпрофесйнотехнчнаосвт,02541846
"Державний професійно-технічний навчальний заклад ""Кам'янський центр підготовки та перепідготовки робітничих кадрів будівництва та автотранспорту""",1210400000,12,"[2018, 2019, 2020, 2021]",державнийпрофесйнотехнчнийнавчальнийзакладкамянськийцентрпдготовкитаперепдготовкиробтничихкадрвбудвництватаавтотранспорт,02541527
"Державний професійно-технічний навчальний заклад ""Кам`янський центр підготовки та перепідготовки робітничих кадрів будівництва та автотранспорту""",1210436300,12,[2023],державнийпрофесйнотехнчнийнавчальнийзакладкамянськийцентрпдготовкитаперепдготовкиробтничихкадрвбудвництватаавтотранспорт,02541527
"Державний професійно-технічний навчальний заклад ""Західно-Дніпровський центр професійно-технічної освіти"" (філія 3)",1210700000,12,"[2019, 2020, 2021, 2022]",державнийпрофесйнотехнчнийнавчальнийзакладзахдноднпровськийцентрпрофесйнотехнчнаосвт,02541846
"Криворізький юридичний коледж Національного університету ""Одеська юридична академія""",1211036300,12,"[2018, 2019, 2020]",криворзькийюридичнийколеджнацональногоунверситетуодеськаюридичнаакадем,20933314
"Криворізький юридичний фаховий коледж Національного університету ""Одеська юридична академія""",1211036300,12,"[2021, 2022, 2023]",криворзькийюридичнийколеджнацональногоунверситетуодеськаюридичнаакадем,20933314
"Відокремлений структурний підрозділ ""Інгулецький фаховий коледж Криворізького національного університету""",1211036900,12,"[2021, 2022, 2023]",нгулецькийколеджкриворзькогонацональногоунверситет,37664469
Індустріальний коледж Криворізького національного університету,1211037200,12,"[2019, 2020]",ндустральнийколеджкриворзькогонацональногоунверситет,37664469
"Відокремлений структурний підрозділ ""Індустріальний фаховий коледж Криворізького національного університету""",1211037200,12,"[2021, 2022]",ндустральнийколеджкриворзькогонацональногоунверситет,37664469
