eoname,KOATUU_2020,year,id,EDRPOU,KOATUU_2020_reg
Ялтушківський заклад загальної середньої освіти I-III ступенів Барської міської ради Вінницької області,0520286503,[2022],ялтушквськийзакладзагальносередньоосвти3ступбарськомськорадивницькообл,,05
Бершадська загальноосвітня школа I-III ступенів №1 Бершадського району Вінницької області,0520410100,"[2020, 2021]",бершадськазагальноосвтняшкола3ступ1бершадськогорайонувницькообл,,05
Бершадська загальноосвітня школа I-III ступенів №2 Бершадського району Вінницької області,0520410100,"[2020, 2021]",бершадськазагальноосвтняшкола3ступ2бершадськогорайонувницькообл,,05
Бершадська загальноосвітня школа I-III ступенів №3 Бершадського району Вінницької області,0520410100,"[2020, 2021]",бершадськазагальноосвтняшкола3ступ3бершадськогорайонувницькообл,,05
Бершадський заклад загальної середньої освіти I-III ступенів №2 Гайсинського району Вінницької області,0520410100,[2022],бершадськийзакладзагальносередньоосвти3ступ2гайсинськогорайонувницькообл,,05
Баланівська загальноосвітня школа I-III ступенів Бершадського району Вінницької області,0520480403,"[2020, 2021]",баланвськазагальноосвтняшкола3ступбершадськогорайонувницькообл,,05
Великокиріївська загальноосвітня школа I-III ступенів Бершадського району Вінницької області,0520480903,"[2020, 2021]",великокирвськазагальноосвтняшкола3ступбершадськогорайонувницькообл,,05
Чернятська загальноосвітня школа I-III ступенів,0520481602,"[2016, 2017]",чернятськазагальноосвтняшкола3ступ,,05
Чернятський заклад загальної середньої освіти І-ІІІ рівнів Джулинської сільської ради Вінницької області,0520481602,[2022],чернятськийзакладзагальносередньоосвти3рвнвджулинськосльськорадивницькообл,,05
Джулинська загальноосвітня школа I-III ступенів,0520481603,"[2016, 2017]",джулинськазагальноосвтняшкола3ступ,,05
Красносільська загальноосвітня школа I-III ступенів Бершадського району Вінницької області,0520482403,"[2020, 2021]",красносльськазагальноосвтняшкола3ступбершадськогорайонувницькообл,,05
Лісничанська загальноосвітня школа I-III ступенів Бершадського району Вінницької області,0520482803,"[2020, 2021]",лсничанськазагальноосвтняшкола3ступбершадськогорайонувницькообл,,05
Михайлівська загальноосвітня школа I-III ступеня ім.Р.А.Скалецького,0520483203,"[2016, 2017]",михайлвськазагальноосвтняшкола3ступменраскалецького,,05
Осіївська загальноосвітня школа I-III ступенів Бершадського району Вінницької області,0520483603,"[2020, 2021]",освськазагальноосвтняшкола3ступбершадськогорайонувницькообл,,05
П'ятківська загальноосвітня школа I-III ступенів Бершадського району Вінницької області,0520484203,"[2020, 2021]",пятквськазагальноосвтняшкола3ступбершадськогорайонувницькообл,,05
П'ятківський заклад загальної середньої освіти І-ІІІ ступенів Бершадської міської ради Гайсинського району Вінницької області,0520484203,[2022],пятквськийзакладзагальносередньоосвти3ступбершадськомськорадигайсинськогорайонувницькообл,,05
Серединська загальноосвітня школа I-III ступеня ім. В. М. Думанського Бершадського району Вінницької області,0520484603,"[2020, 2021]",серединськазагальноосвтняшкола3ступменвмдуманськогобершадськогорайонувницькообл,,05
Серединський заклад загальної середньої освіти I-III рівнів імені В. М. Думанського Джулинської сільської ради Гайсинського району Вінницької області,0520484603,[2022],серединськийзакладзагальносередньоосвти3рвнвменвмдуманськогоджулинськосльськорадигайсинськогорайонувницькообл,,05
Сумівська загальноосвітня школа I-III ступенів Бершадського району Вінницької області,0520485003,[2020],сумвськазагальноосвтняшкола3ступбершадськогорайонувницькообл,,05
Тернівська загальноосвітня школа I-III ступенів Бершадського району Вінницької області,0520485203,"[2020, 2021]",тернвськазагальноосвтняшкола3ступбершадськогорайонувницькообл,,05
Устянська загальноосвітня школа I-III ступенів Бершадського району Вінницької області,0520485403,"[2020, 2021]",устянськазагальноосвтняшкола3ступбершадськогорайонувницькообл,,05
Устянський опорний заклад загальної середньої освіти Бершадської міської ради Вінницької області,0520485403,[2022],устянськийопорнийзакладзагальносередньоосвтибершадськомськорадивницькообл,,05
Флоринська загальноосвітня школа I-III ступенів Бершадського району Вінницької області,0520485603,"[2020, 2021]",флоринськазагальноосвтняшкола3ступбершадськогорайонувницькообл,,05
Флоринський заклад загальної середньої освіти І-ІІІ ступенів Бершадської міської ради Гайсинського району Вінницької області,0520485603,[2022],флоринськийзакладзагальносередньоосвти3ступбершадськомськорадигайсинськогорайонувницькообл,,05
Війтівська загальноосвітня школа I-III ступенів Бершадського району Вінницької області,0520485803,"[2020, 2021]",вйтвськазагальноосвтняшкола3ступбершадськогорайонувницькообл,,05
Війтівський опорний заклад загальної середньої освіти Гайсинського району Вінницької області,0520485803,[2022],вйтвськийопорнийзакладзагальносередньоосвтигайсинськогорайонувницькообл,,05
Опорний заклад «Шляхівська І-ІІІ ступенів імені Героя Соціалістичної Праці Кузика Григорія Йосиповича» Шляхівської об’єднаної територіальної громади Бершадського району Вінницької області,0520487503,[2019],опорнийзакладшляхвська3ступменгероясоцалстичнопрацкузикагригоряйосиповичашляхвськообєднанотериторальногромадибершадськогорайонувницькообл,,05
Опорний заклад «Шляхівська загальноосвітня школа І-ІІІ ступенів імені Героя Соціалістичної Праці Кузика Григорія Йосиповича» Шляхівської об’єднаної територіальної громади Бершадського району Вінницької області,0520487503,"[2020, 2021]",опорнийзакладшляхвськазагальноосвтняшкола3ступменгероясоцалстичнопрацкузикагригоряйосиповичашляхвськообєднанотериторальногромадибершадськогорайонувницькообл,,05
Шляхівська загальноосвітня школа I-III ступенів,0520487503,"[2016, 2017, 2018]",шляхвськазагальноосвтняшкола3ступ,,05
Яланецька загальноосвітня школа I-III ступенів Бершадського району Вінницької області,0520488603,"[2020, 2021]",яланецьказагальноосвтняшкола3ступбершадськогорайонувницькообл,,05
