New,Old,areaname,regname,year
с.Карпоки,с.Карпеки,Козелецький район,Чернігівська область,2009
с.Катина,с.Катине,Старосамбірський район,Львівська область,1989
с.Качмарі,с.Кочмарі,Жовківський район,Львівська область,1990
с-ще Каштанове,с-ще Жданове,Ясинуватський район,Донецька область,1989
с.Каштаново,с.Каштанове,Берегівський район,Закарпатська область,1995
с.Квасово,с.Квасове,Берегівський район,Закарпатська область,1995
с.Киликиїв,с.Киликіїв,Славутський район,Хмельницька область,1993
с.Ківшовата,с.Ківшувата,Таращанський район,Київська область,1989
с.Кідьош,с.Зміївка,Берегівський район,Закарпатська область,1991
с.Кіз'я,с.Коз'я,Бродівський район,Львівська область,1989
с.Кімличка,с.Кимличка,Липоводолинський район,Сумська область,2015
с.Кімната,с.Кімнатка,Кременецький район,Тернопільська область,2009
с.Кіпті,с.Кібті,Жовківський район,Львівська область,1990
с.Кліпець,с.Клипець,Дубенський район,Рівненська область,2008
с.Кліщиха,с.Клещиха,Дубенський район,Рівненська область,2008
с.Клячаново,с.Клячанове,Мукачівський район,Закарпатська область,1995
с.Княгинин,с.Княгинине,Дубенський район,Рівненська область,2008
с.Князівське,с.Князівка,Рожнятівський район,Івано-Франківська область,1991
с.Кобиловолоки,с.Жовтневе,Теребовлянський район,Тернопільська область,1990
с.Кобло,с.Кобло-Старе,Старосамбірський район,Львівська область,1989
с.Козьова,с.Козеве,Сколівський район,Львівська область,1989
с.Колоденці,с.Колоденце,Кам'янка-Бузький район,Львівська область,1989
смт Кольчино,смт Кольчине,Мукачівський район,Закарпатська область,1995
м.Комарно,м.Комарне,Городоцький район,Львівська область,1992
с.Концово,с.Концове,Ужгородський район,Закарпатська область,1995
с.Конюшки-Тулиголівські,с.Конюшки-Тулиголови,Самбірський район,Львівська область,1990
с.Копашново,с.Копашневе,Хустський район,Закарпатська область,1995
с.Коржі,с.Коржівка,Решетилівський район,Полтавська область,1995
смт Королево,смт Королеве,Виноградівський район,Закарпатська область,1995
с.Королівка,с.Коралівка,Борщівський район,Тернопільська область,1989
с.Корчів,с.Корчівка,Сокальський район,Львівська область,1989
с.Косарщина,с.Косарчина,Бродівський район,Львівська область,1989
с.Косівець,с.Косовець,Городоцький район,Львівська область,1990
с.Косонь,с.Косини,Берегівський район,Закарпатська область,1995
с.Костеїв,с.Костиїв,Жовківський район,Львівська область,1990
с.Костільники,с.Костильники,Бучацький район,Тернопільська область,1990
с.Котляревське,с.Котлярівське,Бойківський район,Донецька область,2009
с.Котуш,с.Катуш,Камінь-Каширський район,Волинська область,2002
с.Кочережки,с.Кочеріжки,Павлоградський район,Дніпропетровська область,1992
с.Кочубіївка,с.Кочубеївка,Уманський район,Черкаська область,2008
с.Кошельово,с.Кошелеве,Хустський район,Закарпатська область,1995
с.Крайниково,с.Крайникове,Хустський район,Закарпатська область,1995
с.Красичін,с.Красичин,Кам'янка-Бузький район,Львівська область,1989
с.Красна,с.Красне,Зборівський район,Тернопільська область,2008
с.Краснополівка,с.Краснопілля,Бахмутський район,Донецька область,2009
с.Криве,с.Кривокам'янка,Жовківський район,Львівська область,1990
с.Кривицьке,с.Кривецьке,Козелецький район,Чернігівська область,2009
с.Криниці,с.Михайлівка,Олександрівський район,Донецька область,1987
с.Кричово,с.Кричове,Тячівський район,Закарпатська область,1995
с.Кузьмино,с.Кузьмине,Мукачівський район,Закарпатська область,1995
с.Кулевча,с.Колісне,Саратський район,Одеська область,1995
с.Лалово,с.Лалове,Мукачівський район,Закарпатська область,1995
с.Лешків,с.Першотравневе,Сокальський район,Львівська область,1995
с.Лисичево,с.Лисичеве,Іршавський район,Закарпатська область,1995
с.Лідаво,с.Лідава,Здолбунівський район,Рівненська область,2012
с.Лісновичі,с.Лісневичі,Городоцький район,Львівська область,1990
с.Лозино,с.Лозина,Яворівський район,Львівська область,1989
с.Лохово,с.Лохове,Мукачівський район,Закарпатська область,1995
с.Луб'яна,с.Луб'яне,Миколаївський район,Львівська область,1990
м.Луганськ,м.Ворошиловград,м.Луганськ,Луганська область,1990
с.Лука,с.Озерне,Самбірський район,Львівська область,2000
с.Лукавці,с.Луківці,Вижницький район,Чернівецька область,2005
с.Лукашенкове,с.Лукашенківське,Середино-Будський район,Сумська область,2009
с.Лукнів,с.Лукнове,Коропський район,Чернігівська область,2014
с.Луково,с.Лукове,Іршавський район,Закарпатська область,1995
с.Лупошно,с.Лопушна,Самбірський район,Львівська область,1990
с.Лутайка,с.Лутайки,Прилуцький район,Чернігівська область,2009
с.Лядське,с.Червоне,Монастириський район,Тернопільська область,1992
с.Ляхівці,с.Лемківці,Ужгородський район,Закарпатська область,1995
с.Мавдрики,с.Малдрики,Жовківський район,Львівська область,1990
с.Мазарня-Каранська,с.Мазарня-Коравська,Кам'янка-Бузький район,Львівська область,1989
с.Мазінки,с.Мазинки,Переяслав-Хмельницький район,Київська область,2013
с.Макарьово,с.Макарове,Мукачівський район,Закарпатська область,1995
с.Македонівка,с.Жовтневе,Нікольський район,Донецька область,1991
с.Мала Бийгань,с.Мала Бігань,Берегівський район,Закарпатська область,1992
с.Мала Вербівка,с.Мала Вербка,Самбірський район,Львівська область,1989
