regname,eotype,areaname,eoname,eolevel,eosize,teachstuff,nonteachstuff,teachstuffretage,pupils,pupilswithpreschool,classes,opex,opexplan,hub,budgetcode,ownership,DISO,EDRPOU,year,KOATUU_2020_reg,EDRPOU_checked,id
Волинська область,село,Горохівський район,Загальноосвітня школа І-ІІІ ст с. Вільхівка Горохівського району Волинської області,I-III,,22,14,0,143,143,11,4267.2,4610.8,ні,3302200000,комунальна,17038,23019999,2019,07,23019999,загальноосвтняшкола3стсвльхвкаволинськаобл
Волинська область,село,Горохівський район,Загальноосвітня школа І-ІІІ ступеня села Колодеже Горохівського району Волинської області,I-III,,17,10,2,66,66,9,3273.8,3533.9,ні,3302200000,комунальна,17041,02141710,2019,07,23019964,загальноосвтняшкола3ступсколодежеволинськаобл
Волинська область,село,Горохівський район,Загальноосвітня школа І-ІІІ ступеня с. Шклинь Горохівського райну Волинської області,I-III,,17,8,1,118,118,10,3785.4,4200,ні,3302200000,комунальна,17051,23019864,2019,07,23019864,загальноосвтняшкола3ступсшклиньгорохвськогорайнуволинськаобл
Волинська область,село,Камінь-Каширський район,Загальноосвітня школа І - ІІІ ступенів села Карасин Камінь-Каширської районної ради Волинської області,I-III,,30,14,11,198,198,11,5180.3,5571.1,ні,3304200000,комунальна,17149,25086540,2019,07,25086540,загальноосвтняшкола3ступскарасинкамнькаширськаволинськаобл
Волинська область,село,Камінь-Каширський район,Загальноосвітня школа І-ІІІ ступенів с.Нові Червища Камінь-Каширської районної ради Волинської області,I-III,,34,13,6,183,183,11,4707.5,5131.4,ні,3304200000,комунальна,17151,25086563,2019,07,25086563,загальноосвтняшкола3ступсновчервищакамнькаширськаволинськаобл
Волинська область,село,Камінь-Каширський район,Загальноосвітня школа І-ІІІ ступенів с. Піщане Камінь-Каширської районної ради Волинської області,I-III,,28,9,7,229,229,12,4597.2,4827.7,ні,3304200000,комунальна,17154,25086586,2019,07,25086586,загальноосвтняшкола3ступспщанекамнькаширськаволинськаобл
Волинська область,село,Камінь-Каширський район,Загальноосвітня школа І-ІІІ ступенів села Полиці Камінь-Каширської районної ради Волинської області,I-III,,28,11,4,131,131,11,4653.7,4960,ні,3304200000,комунальна,17156,25086600,2019,07,25086600,загальноосвтняшкола3ступсполицкамнькаширськаволинськаобл
Волинська область,село,Камінь-Каширський район,Загальноосвітня школа І-ІІІ ступеня с. Раків Ліс Камінь-Каширської районної ради Волинської області,I-III,,61,24,13,598,598,26,12238,13593.2,ні,3304200000,комунальна,17157,25086617,2019,07,25086617,загальноосвтняшкола3ступсраквлскамнькаширськаволинськаобл
Волинська область,село,Камінь-Каширський район,Загальноосвітня школа І-ІІІ ступенів села Сошичне Камінь-Каширської районної ради Волинської області,I-III,,42,15,9,327,327,17,7321,7639.6,ні,3304200000,комунальна,17158,25086623,2019,07,25086623,загальноосвтняшкола3ступссошичнекамнькаширськаволинськаобл
Волинська область,село,Камінь-Каширський район,Загальноосвітня школа І-ІІІ ступенів села Тоболи Камінь-Каширської районної ради Волинської області,I-III,,28,12,6,227,227,12,4786.5,5108.2,ні,3304200000,комунальна,17159,25086634,2019,07,25086634,загальноосвтняшкола3ступстоболикамнькаширськаволинськаобл
Волинська область,місто,Ратнівський район,"НВК ""ЗОШ І-ІІІ ступеня №1 - гімназія ім. В.Газіна"" смт Ратне",I-III,,71,29,9,741,741,32,14485.3,16874.8,ні,3312200000,комунальна,17588,21747967,2019,07,21747967,навчальновиховнийкомплексзагальноосвтняшкола3ступ1гмназяменвгазнасмтратн
Волинська область,село,Рожищенський район,Загальноосвітня школа I-III ступеня с. Доросині Рожищенського району Волинської області,I-III,,23,13,4,153,153,11,4249.4,4450.6,ні,3313200000,комунальна,17613,20140460,2019,07,20140460,загальноосвтняшкола3ступсдоросинволинськаобл
Волинська область,місто,Рожищенський район,Загальноосвітня школа І-ІІІ ступеня смт. Дубище Рожищенської районної ради Волинської області,I-III,,33,16,5,260,260,12,5929.1,6176.8,ні,3313200000,комунальна,17614,20140476,2019,07,20140476,загальноосвтняшкола3ступсмтдубищерожищенськаволинськаобл
Волинська область,село,Рожищенський район,Загальноосвітня школа І-ІІІ ступеня с. Літогоща Рожищенського р-ну Волинської обл.,I-III,,17,7,3,76,76,10,2624.7,2771.4,ні,3313200000,комунальна,17618,20140602,2019,07,20140602,загальноосвтняшкола3ступслтогощарожищенськогорнуволинськаоб
Волинська область,село,Рожищенський район,Загальноосвітня школа І-ІІІ ст. с. Топільне Рожищенського району Волинської області,I-III,,23,12,2,188,188,11,3978.4,4103.2,ні,3313200000,комунальна,17627,20140819,2019,07,20140819,загальноосвтняшкола3ступстопльневолинськаобл
Волинська область,село,Велицька сільська ОТГ,загальноосвітня школа І-ІІІ ступеня с.Підріжжя,I-III,,24,13,8,137,137,11,5525.4,6643.9,ні,3501000000,комунальна,17276,41420722,2019,07,20141518,загальноосвтняшкола3ступспдржж
Волинська область,село,Павлівська сільська ОТГ,Грушівська початкова школа Павлівської сільської ради Іваничівського району Волинської області,I-III,,3,1,0,7,7,0,247.787,386.996,ні,3512000000,комунальна,17122,23016707,2019,07,23016707,грушвськапочатковашколапавлвськаволинськаобл
Волинська область,село,Любомльська міська ОТГ,Городненський заклад загальної середньої освіти І-ІІ ступенів Лобомльської міської ради,I-III,,16,5,2,61,61,7,2820,3133,ні,3529000000,комунальна,17479,23018362,2019,07,23018362,городненський2ступлобомльськао
Волинська область,село,Оваднівська сільська ОТГ,Загальноосвітня школа І-ІІІ ступенів с. Овадне,I-III,,20,10,4,146,146,10,4257.2,4174.6,ні,3538000000,комунальна,16998,23018971,2019,07,23018971,загальноосвтняшкола3ступсовадн
Волинська область,село,Гуто-Боровенська сільська ОТГ,Загальноосвітня школа I-III ступенів села Житнівка Гуто- Боровненської сільської ради ОТГ Камінь - Каширського району Волинської області,I-III,,24,13,0,125,125,11,3140,3762.9,ні,3544000000,комунальна,17178,40211755,2019,07,40211755,загальноосвтняшкола3ступсжитнвкагутоборовненськаотгкамньволинськаобл
Волинська область,місто,Ківерцівська міська ОТГ,Ківерцівська експериментальна Всеукраїнського рівня загальноосвітня школа-коплекс І- ІІІ ступенів Ківерцівської районної ради Волинської області,I-III,,29,19,5,286,286,16,6244.1,6643.9,ні,3545000000,комунальна,17192,33328573,2019,07,33328573,кверцвськаекспериментальнавсеукранськогорвнязагальноосвтняшколакоплекс3ступкверцвськаволинськаобл
Дніпропетровська область,місто,Місто Дніпро,Комунальний заклад освіти «Навчально-виховний комплекс №48 «Школа І-ІІІ ступенів - дошкільний навчальний заклад (дитячий садок)» Дніпровськох міської ради,I-III,,23.98,12,4,164,176,7,4082.28,5223.68,ні,4201100000,комунальна,3680,26509149,2019,12,26509149,освтинавчальновиховнийкомплекс48школа3ступдошкльнийнавчальнийзакладднпровськохо
Дніпропетровська область,місто,Місто Дніпро,"Комунальний заклад освіти ""Середня загальноосвітня школа №1"" Дніпровської міської ради",I-III,,79.83,17.25,14,948,948,31,14756.45,16479.11,ні,4201100000,комунальна,3033,40506248,2019,12,34775291,освтисереднязагальноосвтняшкола1днпровськао
Дніпропетровська область,місто,Місто Дніпро,Комунальний заклад освіти „Середня загальноосвітня школа № 34” Дніпровської міської ради,I-III,,57.42,18.5,15,694,694,24,11724.31,13241.86,ні,4201100000,комунальна,3769,26511134,2019,12,26511134,освтисереднязагальноосвтняшкола34”днпровськао
Дніпропетровська область,місто,Місто Дніпро,"Комунальний заклад освіти ""Навчально-виховне об'єднання №109"" Дніпровської міської ради",I-III,,49,28,4,264,313,11,9041.96,10785.1,ні,4201100000,комунальна,3518,24425170,2019,12,24425170,освтинавчальновиховнеобднаня109днпровськао
Дніпропетровська область,місто,Місто Дніпро,"Заклад освіти ""Навчально-виховне об'єднання № 136 ""класична гімназія ім. Кирила і Мефодія - початкова школа - дошкільний навчальний заклад - валеологічний центр"" Дніпропетровської міської ради",I-III,,134,49,15,1084,1179,38,22647.26,26196.1,ні,4201100000,комунальна,3368,24436860,2019,12,24436860,закладосвтинавчальновиховнеобднаня136класичнагмназяменкириламефодяпочатковашколадошкльнийнавчальнийзакладвалеологчнийцентрднпропетровськао
Дніпропетровська область,місто,Місто Дніпро,"Комунальний заклад освіти ""навчально-виховний комплекс № 100 «загальноосвітній навчальний заклад I-IIІ ступенів - ліцей» Дніпровської міської ради ",I-III,,85.81,26,18,979,979,34,17176.03,19144.64,ні,4201100000,комунальна,267,26461617,2019,12,26461617,освтинавчальновиховнийкомплекс100загальноосвтнйнавчальнийзаклад3ступлцейднпровськао
Дніпропетровська область,місто,Місто Кривий Ріг,Криворізька загальноосвітня спеціалізована школа I-III ступенів №4 з поглибленим вивчення іноземних мов Криворізької міської ради Дніпропетровської області,I-III,,90.3,26.25,24.75,927,927,32,15200.7,16279.4,ні,4205100000,комунальна,3032,33453575,2019,12,33453575,криворзьказагальноосвтняспецалзованашкола3ступ4зпоглибленимвивченяноземнихмовкриворзькаднпропетровськаобл
Дніпропетровська область,місто,Місто Кривий Ріг,Криворізька загальноосвітня школа І-ІІІ ступенів №66 Криворізької міської ради Дніпровської області,I-III,,45.44,22.5,7.5,500,500,19,8256.1,9423.5,ні,4205100000,комунальна,3082,33355743,2019,12,33355743,криворзьказагальноосвтняшкола3ступ66криворзькаднпровськаобл
Дніпропетровська область,місто,Місто Кривий Ріг,Криворізька загальноосвітня школа І-ІІІ ступенів №75 Криворізької міської ради Дніпровської області,I-III,,43.69,22.25,5.625,452,452,17,7856.3,9202.9,ні,4205100000,комунальна,2896,33265592,2019,12,33265592,криворзьказагальноосвтняшкола3ступ75криворзькаднпровськаобл
Дніпропетровська область,місто,Місто Павлоград,Павлоградська загальноосвітня школа I-III ступенів №7 Павлоградської міської ради Дніпропетровської облласті,I-III,,50,19,7,701,721,25,8998.555,10912.313,ні,4210100000,комунальна,3524,26328293,2019,12,26328293,павлоградськазагальноосвтняшкола3ступ7павлоградськаднпропетровськаоблласт
Дніпропетровська область,село,Дніпровський Район,Комунальний заклад «Балівська загальноосвітня школа І-ІІІ ступенів» Дніпровської районної ради Дніпропетровської області»,I-III,,26.08,13,9,222,222,11,5848.97,7169.29,ні,4304200000,комунальна,3573,26503858,2019,12,26508658,балвськазагальноосвтняшкола3ступднпровськаднпропетровськаобл
Дніпропетровська область,село,Дніпровський Район,Комунальний заклад «Горянівський навчально-виховний комплекс «Загальноосвітня школа І-ІІІ ступенів – дошкільний навчальний заклад» Дніпровської районної ради Дніпропетровської області»,I-III,,28.57,24.25,4,191,241,11,8731.5,7458.91,ні,4304200000,комунальна,3597,23077332,2019,12,23077382,горянвськийнавчальновиховнийкомплексзагальноосвтняшкола3ступдошкльнийнавчальнийзакладднпровськаднпропетровськаобл
Дніпропетровська область,село,Криворізький Район,"Опорний комунальний навчальний заклад ""Софіївська загальноосвітня школа І-ІІІ ступенів""",I-III,,90,66,20,584,624,55,21611.092,28279.832,опорна,4305200000,комунальна,3830,19146605,2019,12,19146605,опорнийкомунальнийнавчальнийзакладсофвськазагальноосвтняшкола3ступен
